"taskID","date","batchName","operation","quantity","event","technology","workstationID"
"1","_20100925063000","L1","8205","24","PRP","T1","POC05P3"
"2","_20100925063003","L2","7671"," 1","PRP","T2","MTU04C"
"3","_20100925063004","L3","5392"," 1","PRP","T3","SCR163"
"6","_20100925063007","L4","6275"," 1","PRP","T4","SCR036"
"7","_20100925063019","L5","3516","25","PRP","T5","UVH02"
"8","_20100925063024","L6","2230","25","PRP","T2","PRS09"
"9","_20100925063024","L3","5392"," 1","PRP","T3","SCR164"
"10","_20100925063031","L7","1270"," 1","PRP","T2","EPN033"
"11","_20100925063037","L8","6620"," 1","PRP","T2","SCR095"
"12","_20100925063041","L9","1220","25","PRP","T6","CUV02"
"13","_20100925063047","L4","6275"," 1","PRP","T4","SCR035"
"14","_20100925063048","L10","6700","25","PRP","T4","MSP10"
"15","_20100925063055","L11","1191"," 1","PRP","T2","SCR123"
"16","_20100925063056","L12","7671"," 1","PRP","T2","MTU02D"
"17","_20100925063058","L13","8720"," 1","PRP","T7","DOT02C"
"18","_20100925063100","L14","7476"," 2","PRP","T8","SCR135"
"19","_20100925063102","L15","8170","25","PRP","T5","WCM03"
"20","_20100925063108","L8","6620"," 2","PRP","T2","SCR096"
"21","_20100925063109","L2","7671"," 1","PRP","T2","MTU04D"
"22","_20100925063112","L16","2600","25","PRP","T2","CUV05"
"24","_20100925063119","L17","7750"," 0","MSL","T2","DEF01"
"25","_20100925063120","L18","7200"," 6","PRP","T6","CUV03"
"26","_20100925063123","L14","7476"," 2","PRP","T8","SCR136"
"27","_20100925063123","L19","7820","25","PRP","T2","MSP06"
"28","_20100925063128","L2","7671"," 1","PRP","T2","MTU04B"
"29","_20100925063129","L20","5680"," 1","PRP","T6","POX05S4"
"30","_20100925063137","L11","1191"," 2","PRP","T2","SCR124"
"31","_20100925063139","L3","5392"," 2","PRP","T3","SCR165"
"32","_20100925063141","L21","7590"," 1","PRP","T8","DGF09C"
"33","_20100925063148","L22","5450"," 2","PRP","T9","DBP02B"
"34","_20100925063151","L13","8720"," 1","PRP","T7","DOT02B"
"36","_20100925063202","L23","8955"," 2","PRP","T4","SCR014"
"37","_20100925063202","L12","7671"," 1","PRP","T2","MTU02C"
"39","_20100925063204","L24","1610"," 2","PRP","T7","UVH061"
"40","_20100925063211","L25","5260"," 2","PRP","T10","SCR153"
"41","_20100925063216","L26","6950"," 1","PRP","T4","POX03S4"
"42","_20100925063222","L27","3489","25","PRP","T2","IHC04"
"43","_20100925063226","L3","5392"," 3","PRP","T3","SCR166"
"44","_20100925063227","L1","8205"," 2","PRP","T1","POC05P3"
"45","_20100925063227","L2","7671"," 1","PRP","T2","MTU04A"
"46","_20100925063238","L28","8850","25","PRP","T1","CUV15"
"47","_20100925063247","L13","8720"," 1","PRP","T7","DOT02A"
"48","_20100925063247","L24","1610"," 3","PRP","T7","UVH062"
"49","_20100925063256","L29","3855","25","PRP","T3","WRS05"
"50","_20100925063256","L30","5250","24","PRP","T11","WRS05"
"51","_20100925063256","L31","5250"," 2","PRP","T12","WRS05"
"52","_20100925063257","L23","8955"," 3","PRP","T4","SCR013"
"53","_20100925063258","L25","5260"," 3","PRP","T10","SCR154"
"54","_20100925063301","L12","7671"," 1","PRP","T2","MTU02A"
"55","_20100925063302","L32","3498","25","PRP","T5","LPP032"
"56","_20100925063302","L33","2695","25","PRP","T2","LPP032"
"57","_20100925063302","L34","2245","25","PRP","T4","WRS10"
"58","_20100925063302","L35","3035","25","PRP","T3","WRS10"
"59","_20100925063304","L11","1191"," 3","PRP","T2","SCR125"
"60","_20100925063307","L20","5680"," 1","PRP","T6","POX05S1"
"61","_20100925063311","","","","MSE","","LPP032"
"62","_20100925063311","L37","3910"," 1","PRP","T8","EOX022"
"63","_20100925063317","L38","6410","25","PRP","T2","POX02"
"64","_20100925063322","L39","1010","25","PRP","T7","LAS01"
"65","_20100925063331","L40","2410","25","PRP","T2","LPP032"
"66","_20100925063331","L41","2410","25","PRP","T2","LPP031"
"67","_20100925063331","L42","2410","25","PRP","T2","LPP033"
"68","_20100925063331","L43","2410","25","PRP","T2","LPP034"
"69","_20100925063331","L44","2410","25","PRP","T2","LPP032"
"70","_20100925063331","L45","2410","25","PRP","T2","LPP032"